Title,Author
To Kill a Mockingbird,Harper Lee
"A Manual for Writers of Research Papers, Theses, and Dissertations",Kate L. Turabian
1984,George Orwell
The Norton Anthology of English Literature,Stephen Greenblatt (Editor)
Writing and Reporting for the Media,John R. Bender et al.
The Catcher in the Rye,J.D. Salinger
Brave New World,Aldous Huxley
Fahrenheit 451,Ray Bradbury
The Grapes of Wrath,John Steinbeck
Animal Farm,George Orwell
Beloved,Toni Morrison
Their Eyes Were Watching God,Zora Neale Hurston
Invisible Man,Ralph Ellison
The Road,Cormac McCarthy
Slaughterhouse-Five,Kurt Vonnegut
Catch-22,Joseph Heller
The Bell Jar,Sylvia Plath
Things Fall Apart,Chinua Achebe
The Kite Runner,Khaled Hosseini
The Handmaid's Tale,Margaret Atwood
The Alchemist,Paulo Coelho
One Hundred Years of Solitude,Gabriel García Márquez
The Stranger,Albert Camus
The Book Thief,Markus Zusak
The Color Purple,Alice Walker
The Sound and the Fury,William Faulkner
The Old Man and the Sea,Ernest Hemingway
The Wealth of Nations,Adam Smith
The Origin of Species,Charles Darwin
The Protestant Ethic and the Spirit of Capitalism,Max Weber
The Structure of Scientific Revolutions,Thomas S. Kuhn
The Second Sex,Simone de Beauvoir
The Art of Public Speaking,Stephen Lucas
The Norton Anthology of Theory and Criticism,Various
The Diary of a Young Girl,Anne Frank
Silent Spring,Rachel Carson
Lord of the Flies,William Golding
The Myth of Sisyphus,Albert Camus
The Autobiography of Malcolm X,Malcolm X & Alex Haley
Orientalism,Edward Said
"Gödel, Escher, Bach",Douglas Hofstadter
Manufacturing Consent,Herman & Chomsky
A Brief History of Time,Stephen Hawking
The Clash of Civilizations,Samuel P. Huntington
A People's History of the United States,Howard Zinn
The Shock Doctrine,Naomi Klein
