Title,Author
The Allegory of the Cave,Plato
Letter from Birmingham Jail,Martin Luther King Jr.
Common Sense,Thomas Paine
Self-Reliance,Ralph Waldo Emerson
Why I Write,George Orwell
The Tragedy of the Commons,Garrett Hardin
The Social Contract,Jean-Jacques Rousseau
The Death of Ivan Ilyich,Leo Tolstoy
Existentialism is a Humanism,Jean-Paul Sartre
The Lottery,Shirley Jackson
The Ones Who Walk Away from Omelas,Ursula K. Le Guin
Politics and the English Language,George Orwell
Thoughts on the Cause of the Present Discontents,Edmund Burke
Science and Hypothesis,Henri Poincaré
The End of History?,Francis Fukuyama
The Madman,Friedrich Nietzsche
The Historical Roots of Our Ecological Crisis,Lynn White Jr.
The Story of an Hour,Kate Chopin
The Open Society and Its Enemies (Selections),Karl Popper
The Work of Art in the Age of Mechanical Reproduction,Walter Benjamin
The Metropolis and Mental Life,Georg Simmel
The Sickness Unto Death,Søren Kierkegaard
The Abolition of Man,C.S. Lewis
The Ethics of Ambiguity,Simone de Beauvoir
The Problem of Pain,C.S. Lewis
The World as Will and Representation,Arthur Schopenhauer
The Mismeasure of Man,Stephen Jay Gould
"The General Theory of Employment, Interest, and Money",John Maynard Keynes
The Science of 'Muddling Through',Charles E. Lindblom
The Nature of the Firm,Ronald Coase
The Morality of the Death Penalty,Ernest van den Haag
The Civil Rights Movement and the Logic of Social Change,Andrew Young
The Uses of Enchantment,Bruno Bettelheim
The Invisible Man,Ralph Ellison
The Double Helix,James D. Watson
The Myth of Mental Illness,Thomas Szasz
The Dialectic of Enlightenment,"Max Horkheimer, Theodor W. Adorno"
The State and Revolution,Vladimir Lenin
The Use of Knowledge in Society,Friedrich Hayek
The Interpretation of Cultures,Clifford Geertz
The Death and Life of Great American Cities,Jane Jacobs
The Making of the English Working Class,E.P. Thompson
The Communist Manifesto,"Karl Marx, Friedrich Engels"
A Modest Proposal,Jonathan Swift
The Federalist Papers,"Alexander Hamilton, James Madison, John Jay"
The Declaration of Independence,"Thomas Jefferson, et al."
The Souls of Black Folk,W.E.B. Du Bois
Civil Disobedience,Henry David Thoreau
On Liberty,John Stuart Mill
The Gettysburg Address,Abraham Lincoln
The Metamorphosis,Franz Kafka
Utilitarianism,John Stuart Mill
The Art of War,Sun Tzu
The Prince,Niccolò Machiavelli
The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson
Frankenstein,Mary Shelley
The Yellow Wallpaper,Charlotte Perkins Gilman
A Vindication of the Rights of Woman,Mary Wollstonecraft
Democracy in America,Alexis de Tocqueville
Second Treatise of Government,John Locke
The History of the Peloponnesian War,Thucydides
The American Scholar,Ralph Waldo Emerson
The Tell-Tale Heart,Edgar Allan Poe
The Great Learning,Confucius
The Will to Believe,William James
The Crisis,Thomas Paine
The Open Boat,Stephen Crane
The Fall of the House of Usher,Edgar Allan Poe
The Raven,Edgar Allan Poe
Declaration of Sentiments,"Elizabeth Cady Stanton, et al."
The Ethics of Belief,William K. Clifford
The Critique of Pure Reason,Immanuel Kant
The Apology,Plato
The Interpretation of Dreams,Sigmund Freud
The Doctrine of Fascism,Benito Mussolini
The Republic,Plato
The Right to Privacy,"Louis Brandeis, Samuel Warren"
The Consolation of Philosophy,Boethius
The Economic Consequences of the Peace,John Maynard Keynes
The Histories,Herodotus
The Sorrows of Young Werther,Johann Wolfgang von Goethe
The Tale of Genji,Murasaki Shikibu
The Phenomenology of Spirit,Georg Wilhelm Friedrich Hegel
The Epic of Gilgamesh,Anonymous
The I Ching (Selections),Anonymous
The Rig Veda (Selections),Anonymous
The Torah (Selections),Anonymous
The Sundiata (Selections),Djibril Tamsir Niane
The Popol Vuh (Selections),Anonymous
